+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                   ;
+-------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_mux|arb|adder                                                                  ; 12    ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_mux|arb                                                                        ; 7     ; 0              ; 4            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_mux                                                                            ; 339   ; 0              ; 0            ; 0              ; 115    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_demux_006                                                                      ; 115   ; 1              ; 2            ; 1              ; 113    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_demux_005                                                                      ; 115   ; 1              ; 2            ; 1              ; 113    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_demux_004                                                                      ; 115   ; 1              ; 2            ; 1              ; 113    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_demux_003                                                                      ; 115   ; 1              ; 2            ; 1              ; 113    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_demux_002                                                                      ; 116   ; 4              ; 2            ; 4              ; 225    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_demux_001                                                                      ; 116   ; 4              ; 2            ; 4              ; 225    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|rsp_xbar_demux                                                                          ; 116   ; 4              ; 2            ; 4              ; 225    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_006                                                                        ; 115   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_005                                                                        ; 115   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_004                                                                        ; 115   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_003                                                                        ; 115   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_002|arb|adder                                                              ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_002|arb                                                                    ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_002                                                                        ; 227   ; 0              ; 0            ; 0              ; 114    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_001|arb|adder                                                              ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_001|arb                                                                    ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux_001                                                                        ; 227   ; 0              ; 0            ; 0              ; 114    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux|arb|adder                                                                  ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux|arb                                                                        ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_mux                                                                            ; 227   ; 0              ; 0            ; 0              ; 114    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_demux_001                                                                      ; 127   ; 49             ; 2            ; 49             ; 785    ; 49              ; 49            ; 49              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|cmd_xbar_demux                                                                          ; 123   ; 9              ; 6            ; 9              ; 337    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|burst_adapter_001|altera_merlin_burst_adapter_uncompressed_only.the_ba                  ; 88    ; 3              ; 5            ; 3              ; 86     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|burst_adapter_001                                                                       ; 88    ; 0              ; 0            ; 0              ; 86     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|burst_adapter|altera_merlin_burst_adapter_uncompressed_only.the_ba                      ; 97    ; 3              ; 5            ; 3              ; 95     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|burst_adapter                                                                           ; 97    ; 0              ; 0            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|limiter_001                                                                             ; 228   ; 0              ; 0            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|limiter                                                                                 ; 228   ; 0              ; 0            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_006|the_default_decode                                                        ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_006                                                                           ; 108   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_005|the_default_decode                                                        ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_005                                                                           ; 81    ; 0              ; 2            ; 0              ; 86     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_004|the_default_decode                                                        ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_004                                                                           ; 108   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_003|the_default_decode                                                        ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_003                                                                           ; 108   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_002|the_default_decode                                                        ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_002                                                                           ; 108   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_001|the_default_decode                                                        ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router_001                                                                           ; 90    ; 0              ; 2            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router|the_default_decode                                                            ; 0     ; 7              ; 0            ; 7              ; 7      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|id_router                                                                               ; 108   ; 0              ; 2            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|addr_router_001|the_default_decode                                                      ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|addr_router_001                                                                         ; 108   ; 0              ; 5            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|addr_router|the_default_decode                                                          ; 0     ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|addr_router                                                                             ; 108   ; 0              ; 5            ; 0              ; 113    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|segled_controller_avalon_slave_0_translator_avalon_universal_slave_0_agent_rsp_fifo     ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|segled_controller_avalon_slave_0_translator_avalon_universal_slave_0_agent|uncompressor ; 42    ; 1              ; 0            ; 1              ; 40     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|segled_controller_avalon_slave_0_translator_avalon_universal_slave_0_agent              ; 295   ; 39             ; 44           ; 39             ; 318    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|can_controller_avalon_slave_translator_avalon_universal_slave_0_agent_rsp_fifo          ; 121   ; 39             ; 0            ; 39             ; 80     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|can_controller_avalon_slave_translator_avalon_universal_slave_0_agent|uncompressor      ; 42    ; 1              ; 0            ; 1              ; 40     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|can_controller_avalon_slave_translator_avalon_universal_slave_0_agent                   ; 193   ; 13             ; 20           ; 13             ; 211    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|can_tx_en_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                         ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|can_tx_en_s1_translator_avalon_universal_slave_0_agent|uncompressor                     ; 42    ; 1              ; 0            ; 1              ; 40     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|can_tx_en_s1_translator_avalon_universal_slave_0_agent                                  ; 295   ; 39             ; 44           ; 39             ; 318    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo          ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor      ; 42    ; 1              ; 0            ; 1              ; 40     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|jtag_uart_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                   ; 295   ; 39             ; 44           ; 39             ; 318    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|epcs_epcs_control_port_translator_avalon_universal_slave_0_agent_rsp_fifo               ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|epcs_epcs_control_port_translator_avalon_universal_slave_0_agent|uncompressor           ; 42    ; 1              ; 0            ; 1              ; 40     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|epcs_epcs_control_port_translator_avalon_universal_slave_0_agent                        ; 295   ; 39             ; 44           ; 39             ; 318    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|sdram_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                           ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|sdram_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                             ; 130   ; 39             ; 0            ; 39             ; 89     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|sdram_s1_translator_avalon_universal_slave_0_agent|uncompressor                         ; 42    ; 1              ; 0            ; 1              ; 40     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|sdram_s1_translator_avalon_universal_slave_0_agent                                      ; 227   ; 22             ; 28           ; 22             ; 247    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|nios2_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo              ; 148   ; 39             ; 0            ; 39             ; 107    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|nios2_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor          ; 42    ; 1              ; 0            ; 1              ; 40     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|nios2_jtag_debug_module_translator_avalon_universal_slave_0_agent                       ; 295   ; 39             ; 44           ; 39             ; 318    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|nios2_data_master_translator_avalon_universal_master_0_agent                            ; 185   ; 38             ; 80           ; 38             ; 140    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|nios2_instruction_master_translator_avalon_universal_master_0_agent                     ; 185   ; 38             ; 80           ; 38             ; 140    ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|segled_controller_avalon_slave_0_translator                                             ; 110   ; 39             ; 24           ; 39             ; 69     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|can_controller_avalon_slave_translator                                                  ; 57    ; 6              ; 18           ; 6              ; 29     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|can_tx_en_s1_translator                                                                 ; 110   ; 7              ; 27           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|jtag_uart_avalon_jtag_slave_translator                                                  ; 110   ; 6              ; 28           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|epcs_epcs_control_port_translator                                                       ; 110   ; 7              ; 17           ; 7              ; 78     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|sdram_s1_translator                                                                     ; 75    ; 5              ; 2            ; 5              ; 63     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|nios2_jtag_debug_module_translator                                                      ; 110   ; 6              ; 17           ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|nios2_data_master_translator                                                            ; 111   ; 13             ; 2            ; 13             ; 103    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0|nios2_instruction_master_translator                                                     ; 111   ; 52             ; 2            ; 52             ; 103    ; 52              ; 52            ; 52              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|mm_interconnect_0                                                                                         ; 251   ; 0              ; 0            ; 0              ; 297    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|segled_controller|u_segled_logic                                                                          ; 30    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|segled_controller|u_segled_register                                                                       ; 37    ; 0              ; 12           ; 0              ; 28     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|segled_controller                                                                                         ; 37    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_calculated_crc1                                                     ; 8     ; 1              ; 0            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_calculated_crc0                                                     ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_12                                                      ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_11                                                      ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_10                                                      ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_9                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_8                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_7                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_6                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_5                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_4                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_3                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_2                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_1                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_ibo_tx_data_0                                                       ; 8     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_can_fifo|overrun_fifo|sram|ram_block|auto_generated                 ; 16    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_can_fifo|info_fifo|sram|ram_block|auto_generated                    ; 19    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_can_fifo|fifo|sram|ram_block|auto_generated                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_can_fifo                                                            ; 21    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_can_acf                                                             ; 122   ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp|i_can_crc_rx                                                          ; 4     ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_bsp                                                                       ; 215   ; 0              ; 2            ; 0              ; 75     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_system_qsys|can_controller|u1_can_top|i_can_btl                                                                       ; 31    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
